standard_whisky_name,image_url,source_url,license
Royal Lochnagar 12 Year Old,/images/whisky-thumbs/royal-lochnagar-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/510f0668-abc1-4a58-9b7d-7a01ad049343.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Four Roses Small Batch,/images/whisky-thumbs/four-roses-small-batch.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/b297fc21-ff7d-49e8-b5ad-d47786836c79.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Hazelburn 10 Year Old,/images/whisky-thumbs/hazelburn-10-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/cf78ad73-dd0d-47c2-87f9-e4309792ada8.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Yellow Rose Harris County,/images/whisky-thumbs/yellow-rose-harris-county.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/b094b1fb-a77e-478b-acc9-aa6d34f3c011.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenallachie 12,/images/whisky-thumbs/glenallachie-12.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/30a3b4ec-4fb9-43c2-a3eb-3614b497a6d2.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
White Horse,/images/whisky-thumbs/white-horse.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/36ce24c5-4169-412a-9d02-65fa955202b8.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Russell's Reserve 13 Year Old Barrel Proof (2025 Release),/images/whisky-thumbs/russell-s-reserve-13-year-old-barrel-proof-2025-release.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/7619fb22-7869-4099-bfff-7da73a3a4ea2.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Woodford Reserve Straight Bourbon,/images/whisky-thumbs/woodford-reserve-straight-bourbon.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/b386c97d-92c2-4176-a51a-ab9f409cf4b92.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Booker's 2026-01E,/images/whisky-thumbs/booker-s-2026-01e.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/958f3f45-aa36-44f9-a5e5-30da1cf10f3f.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Eagle Rare 10 Year Old,/images/whisky-thumbs/eagle-rare-10-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/91cb7a13-15e0-4f6f-836f-dae75691cafb.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Ballantine's 17 Year Old,/images/whisky-thumbs/ballantine-s-17-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/20a98036-7dd8-42b9-9626-5b6f6e9380aa.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glendronach 15,/images/whisky-thumbs/glendronach-15.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/20467377-2bdc-4b1b-a2a1-8cbe6529733b.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
